Device: cuda:0 (NVIDIA RTX 6000 Ada Generation)
Windows: 4944 train / 37 val | epochs=100 | forecast_mask=obs+drivers | exclude_time=['Discharge_CMS_lag_7', 'HoboWetDry0.05_lag_7']
RGCN_v2 input_dim=36 params=101,250
epoch   1/100  train=0.1935  val=0.5706  best=0.5706@1  21.1s *best*
epoch   2/100  train=0.0998  val=0.5215  best=0.5215@2  20.8s *best*
epoch   3/100  train=0.0910  val=0.4311  best=0.4311@3  20.8s *best*
epoch   4/100  train=0.0863  val=0.2751  best=0.2751@4  21.0s *best*
epoch   5/100  train=0.0813  val=0.2312  best=0.2312@5  20.9s *best*
epoch   6/100  train=0.0796  val=0.2047  best=0.2047@6  21.0s *best*
epoch   7/100  train=0.0783  val=0.1875  best=0.1875@7  21.0s *best*
epoch   8/100  train=0.0786  val=0.1750  best=0.1750@8  21.0s *best*
epoch   9/100  train=0.0761  val=0.1622  best=0.1622@9  21.0s *best*
epoch  10/100  train=0.0753  val=0.1590  best=0.1590@10  20.9s *best*
epoch  11/100  train=0.0739  val=0.1507  best=0.1507@11  21.5s *best*
epoch  12/100  train=0.0731  val=0.1457  best=0.1457@12  21.5s *best*
epoch  13/100  train=0.0717  val=0.1410  best=0.1410@13  21.5s *best*
epoch  14/100  train=0.0708  val=0.1417  best=0.1410@13  21.5s
epoch  15/100  train=0.0697  val=0.1412  best=0.1410@13  21.5s
epoch  16/100  train=0.0701  val=0.1352  best=0.1352@16  21.6s *best*
epoch  17/100  train=0.0677  val=0.1415  best=0.1352@16  21.6s
epoch  18/100  train=0.0695  val=0.1394  best=0.1352@16  21.5s
epoch  19/100  train=0.0675  val=0.1455  best=0.1352@16  21.5s
epoch  20/100  train=0.0675  val=0.1395  best=0.1352@16  21.5s
epoch  21/100  train=0.0668  val=0.1438  best=0.1352@16  21.5s
epoch  22/100  train=0.0670  val=0.1396  best=0.1352@16  21.6s
epoch  23/100  train=0.0660  val=0.1406  best=0.1352@16  21.6s
epoch  24/100  train=0.0674  val=0.1447  best=0.1352@16  21.5s
epoch  25/100  train=0.0656  val=0.1411  best=0.1352@16  21.5s
epoch  26/100  train=0.0656  val=0.1417  best=0.1352@16  21.5s
epoch  27/100  train=0.0645  val=0.1366  best=0.1352@16  21.5s
epoch  28/100  train=0.0646  val=0.1369  best=0.1352@16  21.6s
epoch  29/100  train=0.0634  val=0.1403  best=0.1352@16  21.5s
epoch  30/100  train=0.0631  val=0.1408  best=0.1352@16  21.5s
epoch  31/100  train=0.0630  val=0.1435  best=0.1352@16  21.5s
epoch  32/100  train=0.0641  val=0.1447  best=0.1352@16  21.5s
epoch  33/100  train=0.0639  val=0.1405  best=0.1352@16  21.7s
epoch  34/100  train=0.0634  val=0.1427  best=0.1352@16  21.7s
epoch  35/100  train=0.0637  val=0.1461  best=0.1352@16  22.1s
epoch  36/100  train=0.0622  val=0.1833  best=0.1352@16  21.4s
Early stopping at epoch 36 (no improvement for 20).
Done. Best val=0.1352 @ epoch 16. Saved /bluesclues-data/home/michaelmurphy/saas-river-forecasting/data/retrain/availability_sweep/h128.pt
