Configuration,N,WetFrac,Accuracy,ROC-AUC,WetF1,DryF1,DryRecall,DryPrecision,BestEpoch,NSE_day1,KGE_day1,DischargeN_day1,NSE_day3,KGE_day3,DischargeN_day3
default_availability,908,0.7918502202643172,0.961453744493392,0.9856355461362415,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469,49,0.7568287806498408,0.5835675663290047,1038,0.47982641506350665,0.4386187334308057,1054
no_availability,908,0.7918502202643172,0.947136563876652,0.984016601540941,0.9666666666666667,0.8723404255319149,0.8677248677248677,0.8770053475935828,42,0.7738945149523424,0.6352267738977888,1038,0.47427446854299704,0.4608618403021374,1054
cls_only,908,0.7918502202643172,0.9559471365638766,0.9849438152637039,0.9714693295292439,0.9033816425120773,0.9894179894179894,0.8311111111111111,22,-0.05135010687393993,-0.8968003664946269,1038,-0.0526273609132073,-0.8947592774611477,1054
do00,908,0.7918502202643172,0.961453744493392,0.9862904828134315,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469,44,0.8159776058059907,0.7950911864816126,1038,0.4703048254076505,0.5654920480535209,1054
do03,908,0.7918502202643172,0.9625550660792952,0.9828539049679523,0.9758179231863442,0.9170731707317074,0.9947089947089947,0.8506787330316742,35,0.5942465949886434,0.31801707496646403,1038,0.4080632048531738,0.24863585427199586,1054
fpw1,908,0.7918502202643172,0.9658590308370044,0.9871441081454988,0.9779985805535841,0.9238329238329238,0.9947089947089947,0.8623853211009175,73,0.7441693470640898,0.5949570841507881,1038,0.4777859594142243,0.437711839457266,1054
fpw4,908,0.7918502202643172,0.961453744493392,0.986231612100875,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469,55,0.7476004660952611,0.5858340493967222,1038,0.47085596586812106,0.4447517443674086,1054
h128,908,0.7918502202643172,0.9680616740088106,0.984892303390217,0.9794762915782024,0.9280397022332506,0.9894179894179894,0.8738317757009346,16,0.7720442849264366,0.6695542853256273,1038,0.4811073600881991,0.5349284498552388,1054
h32,908,0.7918502202643172,0.9636563876651982,0.9852528865046251,0.9765791341376863,0.918918918918919,0.9894179894179894,0.8577981651376146,58,0.7628685395184533,0.6181577420403597,1038,0.4732059892421414,0.47940196626290177,1054
l05c10,908,0.7918502202643172,0.9570484581497798,0.9819561266014674,0.9724770642201835,0.9022556390977443,0.9523809523809523,0.8571428571428571,42,0.7345298427019831,0.5452545599983107,1038,0.47766422752096405,0.4264194943986289,1054
l10c10,908,0.7918502202643172,0.9592511013215859,0.986393506560405,0.9739619985925405,0.9063291139240506,0.9470899470899471,0.8689320388349514,49,0.7522964799552232,0.5912918067105715,1038,0.47799742891746444,0.44575047158249415,1054
lr3e3,908,0.7918502202643172,0.9658590308370044,0.9867467308357434,0.9779985805535841,0.9238329238329238,0.9947089947089947,0.8623853211009175,25,0.7682058234118194,0.636481907440123,1038,0.48800844837340995,0.47403491594987557,1054
lr3e4,908,0.7918502202643172,0.961453744493392,0.9817427202684503,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469,99,0.7412065675692774,0.5561404175821388,1038,0.4712524656314728,0.42479646014371786,1054
nostat,908,0.7918502202643172,0.9669603524229075,0.9851645804357905,0.9787234042553191,0.9261083743842364,0.9947089947089947,0.8663594470046083,24,0.747324959190369,0.5804585770770676,1038,0.46740884527373905,0.47242355656899804,1054
reg_only,908,0.7918502202643172,0.7918502202643172,0.5,0.8838352796558082,0.0,0.0,0.0,53,0.7741081716378376,0.647415698210319,1038,0.4848574554508033,0.48006930038268225,1054
wd0,908,0.7918502202643172,0.961453744493392,0.9828612638070218,0.9752300070771408,0.913151364764268,0.9735449735449735,0.8598130841121495,26,0.7345355213887168,0.5427323161610282,1038,0.4621944280299418,0.42372107024655736,1054
wd1e3,908,0.7918502202643172,0.960352422907489,0.9853411925734595,0.9745042492917847,0.9108910891089109,0.9735449735449735,0.8558139534883721,55,0.7233496724046244,0.5231094700673921,1038,0.46767864261925707,0.42353754152063794,1054
