seed,method,site,n,rho,rho_used,np,true,mean,lo,hi,ok
42,platt_rho98,55000900029021,40,0.0,0.0,84,0.0,1.9613,0.0,5.0,True
42,platt_rho98,55000900030173,43,0.0,0.0,77,0.0,2.057,0.0,5.0,True
42,platt_rho98,55000900096564,36,0.0,0.0,66,10.138888888888893,7.4354,3.0,13.0,True
42,platt_rho98,55000900097164,41,1.0,0.98,83,258.17073170731703,349.9008,298.0,365.0,False
42,platt_rho98,55000900097169,42,0.9999999999999998,0.98,74,304.1666666666667,357.7407,312.0,365.0,False
42,platt_rho98,55000900097170,48,1.0,0.98,81,349.7916666666667,356.2244,306.0,365.0,True
42,platt_rho98,55000900099610,39,0.0,0.0,75,0.0,1.7859,0.0,5.0,True
42,platt_rho98,55000900100137,40,1.0,0.98,69,328.5,356.1564,308.0,365.0,True
42,platt_rho98,55000900131558,42,0.0,0.0,79,0.0,2.0702,0.0,5.0,True
42,platt_rho98,55000900167054,41,0.0,0.0,73,0.0,1.6874,0.0,5.0,True
42,platt_rho98,55000900167692,35,0.0,0.0,80,0.0,23.6411,15.0,33.0,False
42,platt_rho98,55000900167704,41,0.0,0.0,84,0.0,1.7111,0.0,5.0,True
42,platt_rho98,55000900201800,41,0.0,0.0,74,0.0,1.7366,0.0,5.0,True
42,platt_rho98,55000900201811,43,0.0,0.0,84,0.0,1.5308,0.0,4.0,True
42,platt_rho98,55000900202948,43,0.0,0.0,77,0.0,1.6014,0.0,4.0,True
42,platt_rho98,55000900235848,41,0.0,0.0,84,0.0,1.475,0.0,4.0,True
42,platt_rho98,55000900236525,40,0.0,0.0,84,0.0,1.9671,0.0,5.0,True
42,platt_rho98,55000900237668,48,0.9271726499455306,0.9271726499455306,64,319.375,352.4546,327.0,364.0,False
42,platt_rho98,55000900271029,41,0.0,0.0,84,0.0,2.0329,0.0,5.0,True
42,platt_rho98,55000900271635,42,0.0,0.0,77,0.0,2.4976,0.0,6.0,True
42,platt_rho98,55000900272209,40,0.0,0.0,80,0.0,2.5037,0.0,6.0,True
42,platt_rho98,55000900272714,41,0.0,0.0,78,0.0,1.7466,0.0,5.0,True
42,raw_unclipped,55000900029021,40,0.0,0.0,84,0.0,18.7898,11.0,28.0,False
42,raw_unclipped,55000900030173,43,0.0,0.0,77,0.0,19.6251,12.0,29.0,False
42,raw_unclipped,55000900096564,36,0.0,0.0,66,10.138888888888893,58.0743,45.0,72.0,False
42,raw_unclipped,55000900097164,41,1.0,1.0,83,258.17073170731703,353.1787,292.975,365.0,False
42,raw_unclipped,55000900097169,42,0.9999999999999998,0.9999999999999998,74,304.1666666666667,362.7302,318.0,365.0,False
42,raw_unclipped,55000900097170,48,1.0,1.0,81,349.7916666666667,357.4322,293.975,365.0,True
42,raw_unclipped,55000900099610,39,0.0,0.0,75,0.0,13.5444,7.0,21.0,False
42,raw_unclipped,55000900100137,40,1.0,1.0,69,328.5,358.8181,320.0,365.0,True
42,raw_unclipped,55000900131558,42,0.0,0.0,79,0.0,20.7886,12.0,30.0,False
42,raw_unclipped,55000900167054,41,0.0,0.0,73,0.0,12.9132,7.0,20.0,False
42,raw_unclipped,55000900167692,35,0.0,0.0,80,0.0,74.008,59.0,89.0,False
42,raw_unclipped,55000900167704,41,0.0,0.0,84,0.0,13.8625,7.0,22.0,False
42,raw_unclipped,55000900201800,41,0.0,0.0,74,0.0,13.3716,7.0,21.0,False
42,raw_unclipped,55000900201811,43,0.0,0.0,84,0.0,9.5246,4.0,16.0,False
