seed,method,site,n_observed,first_date,last_date,calendar_span,observed_dry,expected_dry,simulation_mean,lo,hi,included,rho,rho_used,rho_pairs
42,platt_rho98,55000900029021,40,2020-09-11,2020-10-20,40,0,0.21664024620480093,0.2179,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900030173,43,2020-09-11,2020-10-23,43,0,0.2394596552360999,0.2409,0.0,2.0,True,0.0,0.0,77
42,platt_rho98,55000900096564,36,2020-09-11,2020-10-28,48,1,0.7365307154133829,0.7274,0.0,3.0,True,0.0,0.0,66
42,platt_rho98,55000900097164,41,2020-09-11,2020-10-22,42,29,39.31005060442863,39.3259,27.0,41.0,True,1.0,0.98,83
42,platt_rho98,55000900097169,42,2020-09-11,2020-10-22,42,35,41.16407884602065,41.1024,29.0,42.0,True,0.9999999999999998,0.98,74
42,platt_rho98,55000900097170,48,2020-09-11,2020-10-29,49,46,46.83001097326592,46.9018,34.0,48.0,True,1.0,0.98,81
42,platt_rho98,55000900099610,39,2020-09-11,2020-10-20,40,0,0.19075586887650064,0.1887,0.0,1.0,True,0.0,0.0,75
42,platt_rho98,55000900100137,40,2020-09-11,2020-10-21,41,36,39.02852631094554,38.9747,27.0,40.0,True,1.0,0.98,69
42,platt_rho98,55000900131558,42,2020-09-11,2020-10-22,42,0,0.23774839221808386,0.2378,0.0,1.0,True,0.0,0.0,79
42,platt_rho98,55000900167054,41,2020-09-11,2020-10-21,41,0,0.18884865481880864,0.1926,0.0,1.0,True,0.0,0.0,73
42,platt_rho98,55000900167692,35,2020-09-11,2020-10-20,40,0,2.2674262833906815,2.2624,0.0,5.0,True,0.0,0.0,80
42,platt_rho98,55000900167704,41,2020-09-11,2020-10-21,41,0,0.19373524138702525,0.1971,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900201800,41,2020-09-11,2020-10-22,42,0,0.19484787920915758,0.198,0.0,1.0,True,0.0,0.0,74
42,platt_rho98,55000900201811,43,2020-09-11,2020-10-23,43,0,0.18041745830767475,0.1832,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900202948,43,2020-09-11,2020-10-23,43,0,0.18815247899364707,0.19,0.0,1.0,True,0.0,0.0,77
42,platt_rho98,55000900235848,41,2020-09-11,2020-10-21,41,0,0.16664010695099396,0.1653,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900236525,40,2020-09-11,2020-10-20,40,0,0.21640872136495048,0.2157,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900237668,48,2020-09-11,2020-10-28,48,42,46.36220940671581,46.3804,36.0,48.0,True,0.9271726499455306,0.9271726499455306,64
42,platt_rho98,55000900271029,41,2020-09-11,2020-10-21,41,0,0.2303222911620657,0.2305,0.0,1.0,True,0.0,0.0,84
42,platt_rho98,55000900271635,42,2020-09-11,2020-10-22,42,0,0.28763986663098484,0.2894,0.0,2.0,True,0.0,0.0,77
42,platt_rho98,55000900272209,40,2020-09-11,2020-10-20,40,0,0.27161787418670835,0.2816,0.0,2.0,True,0.0,0.0,80
42,platt_rho98,55000900272714,41,2020-09-11,2020-10-21,41,0,0.1966535094551023,0.1938,0.0,1.0,True,0.0,0.0,78
42,raw_unclipped,55000900029021,40,2020-09-11,2020-10-20,40,0,2.05887861,2.058,0.0,5.0,True,0.0,0.0,84
42,raw_unclipped,55000900030173,43,2020-09-11,2020-10-23,43,0,2.30953296,2.327,0.0,6.0,True,0.0,0.0,77
42,raw_unclipped,55000900096564,36,2020-09-11,2020-10-28,48,1,5.72316976,5.6856,2.0,10.0,False,0.0,0.0,66
42,raw_unclipped,55000900097164,41,2020-09-11,2020-10-22,42,29,39.65762937465,39.6267,33.0,41.0,False,1.0,1.0,83
42,raw_unclipped,55000900097169,42,2020-09-11,2020-10-22,42,35,41.74987946868001,41.7572,37.0,42.0,False,0.9999999999999998,0.9999999999999998,74
42,raw_unclipped,55000900097170,48,2020-09-11,2020-10-29,49,46,46.9879681204,47.0339,39.0,48.0,True,1.0,1.0,81
42,raw_unclipped,55000900099610,39,2020-09-11,2020-10-20,40,0,1.4481915300000001,1.4367,0.0,4.0,True,0.0,0.0,75
42,raw_unclipped,55000900100137,40,2020-09-11,2020-10-21,41,36,39.307878296300004,39.2962,34.0,40.0,True,1.0,1.0,69
42,raw_unclipped,55000900131558,42,2020-09-11,2020-10-22,42,0,2.38115386,2.3685,0.0,6.0,True,0.0,0.0,79
42,raw_unclipped,55000900167054,41,2020-09-11,2020-10-21,41,0,1.4448477799999997,1.4453,0.0,4.0,True,0.0,0.0,73
42,raw_unclipped,55000900167692,35,2020-09-11,2020-10-20,40,0,7.09789945,7.1083,3.0,12.0,False,0.0,0.0,80
42,raw_unclipped,55000900167704,41,2020-09-11,2020-10-21,41,0,1.55193707,1.5528,0.0,4.0,True,0.0,0.0,84
42,raw_unclipped,55000900201800,41,2020-09-11,2020-10-22,42,0,1.5047417599999997,1.4913,0.0,4.0,True,0.0,0.0,74
42,raw_unclipped,55000900201811,43,2020-09-11,2020-10-23,43,0,1.1189387899999998,1.1132,0.0,4.0,True,0.0,0.0,84
42,raw_unclipped,55000900202948,43,2020-09-11,2020-10-23,43,0,1.2889111,1.2856,0.0,4.0,True,0.0,0.0,77
42,raw_unclipped,55000900235848,41,2020-09-11,2020-10-21,41,0,0.9306472300000002,0.9264,0.0,3.0,True,0.0,0.0,84
42,raw_unclipped,55000900236525,40,2020-09-11,2020-10-20,40,0,2.0512443399999998,2.0392,0.0,5.0,True,0.0,0.0,84
42,raw_unclipped,55000900237668,48,2020-09-11,2020-10-28,48,42,46.3128547191,46.2988,37.0,48.0,True,0.9271726499455306,0.9271726499455306,64
42,raw_unclipped,55000900271029,41,2020-09-11,2020-10-21,41,0,2.23457377,2.2181,0.0,5.0,True,0.0,0.0,84
42,raw_unclipped,55000900271635,42,2020-09-11,2020-10-22,42,0,3.07985033,3.0756,0.0,7.0,True,0.0,0.0,77
42,raw_unclipped,55000900272209,40,2020-09-11,2020-10-20,40,0,2.9743982200000003,2.9686,0.0,6.0,True,0.0,0.0,80
42,raw_unclipped,55000900272714,41,2020-09-11,2020-10-21,41,0,1.59961563,1.6047,0.0,4.0,True,0.0,0.0,78
43,platt_rho98,55000900029021,40,2020-09-11,2020-10-20,40,0,0.26015662197793155,0.2594,0.0,2.0,True,0.0,0.0,84
43,platt_rho98,55000900030173,43,2020-09-11,2020-10-23,43,0,0.19170054353214483,0.1958,0.0,1.0,True,0.0,0.0,77
43,platt_rho98,55000900096564,36,2020-09-11,2020-10-28,48,1,0.6710938154929249,0.667,0.0,3.0,True,0.0,0.0,66
43,platt_rho98,55000900097164,41,2020-09-11,2020-10-22,42,29,35.209650378143664,35.2177,14.0,41.0,True,1.0,0.98,83
43,platt_rho98,55000900097169,42,2020-09-11,2020-10-22,42,35,40.29261420398636,40.248,20.0,42.0,True,0.9999999999999998,0.98,74
43,platt_rho98,55000900097170,48,2020-09-11,2020-10-29,49,46,45.46927861340704,45.4308,22.0,48.0,True,1.0,0.98,81
43,platt_rho98,55000900099610,39,2020-09-11,2020-10-20,40,0,0.1931213660337685,0.1919,0.0,1.0,True,0.0,0.0,75
43,platt_rho98,55000900100137,40,2020-09-11,2020-10-21,41,36,37.930473019228074,37.9612,19.0,40.0,True,1.0,0.98,69
43,platt_rho98,55000900131558,42,2020-09-11,2020-10-22,42,0,0.16758838822972244,0.1675,0.0,1.0,True,0.0,0.0,79
43,platt_rho98,55000900167054,41,2020-09-11,2020-10-21,41,0,0.1658996068652654,0.1695,0.0,1.0,True,0.0,0.0,73
43,platt_rho98,55000900167692,35,2020-09-11,2020-10-20,40,0,2.813644256792728,2.8254,1.0,5.0,False,0.0,0.0,80
43,platt_rho98,55000900167704,41,2020-09-11,2020-10-21,41,0,0.17311700291997056,0.1804,0.0,1.0,True,0.0,0.0,84
43,platt_rho98,55000900201800,41,2020-09-11,2020-10-22,42,0,0.13649516246031956,0.1365,0.0,1.0,True,0.0,0.0,74
43,platt_rho98,55000900201811,43,2020-09-11,2020-10-23,43,0,0.15074755905083193,0.1538,0.0,1.0,True,0.0,0.0,84
43,platt_rho98,55000900202948,43,2020-09-11,2020-10-23,43,0,0.13957141637371517,0.1399,0.0,1.0,True,0.0,0.0,77
43,platt_rho98,55000900235848,41,2020-09-11,2020-10-21,41,0,0.14639094638182726,0.1486,0.0,1.0,True,0.0,0.0,84
43,platt_rho98,55000900236525,40,2020-09-11,2020-10-20,40,0,0.3274645968404353,0.3204,0.0,2.0,True,0.0,0.0,84
43,platt_rho98,55000900237668,48,2020-09-11,2020-10-28,48,42,41.50113310688538,41.4557,26.0,48.0,True,0.9271726499455306,0.9271726499455306,64
43,platt_rho98,55000900271029,41,2020-09-11,2020-10-21,41,0,0.17671957272270644,0.178,0.0,1.0,True,0.0,0.0,84
43,platt_rho98,55000900271635,42,2020-09-11,2020-10-22,42,0,0.33709522240548473,0.3409,0.0,2.0,True,0.0,0.0,77
43,platt_rho98,55000900272209,40,2020-09-11,2020-10-20,40,0,0.27632490737703996,0.2752,0.0,2.0,True,0.0,0.0,80
43,platt_rho98,55000900272714,41,2020-09-11,2020-10-21,41,0,0.13172389726908262,0.1359,0.0,1.0,True,0.0,0.0,78
43,raw_unclipped,55000900029021,40,2020-09-11,2020-10-20,40,0,3.87158919,3.8828,1.0,8.0,False,0.0,0.0,84
43,raw_unclipped,55000900030173,43,2020-09-11,2020-10-23,43,0,2.58437524,2.5925,0.0,6.0,True,0.0,0.0,77
43,raw_unclipped,55000900096564,36,2020-09-11,2020-10-28,48,1,5.09073952,5.0924,1.0,9.0,True,0.0,0.0,66
43,raw_unclipped,55000900097164,41,2020-09-11,2020-10-22,42,29,37.5798078641,37.5668,30.0,41.0,False,1.0,1.0,83
43,raw_unclipped,55000900097169,42,2020-09-11,2020-10-22,42,35,41.80362898111,41.8106,41.0,42.0,False,0.9999999999999998,0.9999999999999998,74
43,raw_unclipped,55000900097170,48,2020-09-11,2020-10-29,49,46,46.744262203800005,46.6759,36.0,48.0,True,1.0,1.0,81
43,raw_unclipped,55000900099610,39,2020-09-11,2020-10-20,40,0,2.660102340000001,2.6496,0.0,6.0,True,0.0,0.0,75
43,raw_unclipped,55000900100137,40,2020-09-11,2020-10-21,41,36,39.1385374326,39.1405,33.0,40.0,True,1.0,1.0,69
43,raw_unclipped,55000900131558,42,2020-09-11,2020-10-22,42,0,2.06409261,2.0592,0.0,5.0,True,0.0,0.0,79
43,raw_unclipped,55000900167054,41,2020-09-11,2020-10-21,41,0,2.06960356,2.0813,0.0,5.0,True,0.0,0.0,73
43,raw_unclipped,55000900167692,35,2020-09-11,2020-10-20,40,0,8.43018065,8.4505,4.0,13.0,False,0.0,0.0,80
43,raw_unclipped,55000900167704,41,2020-09-11,2020-10-21,41,0,2.1672740599999996,2.1703,0.0,5.0,True,0.0,0.0,84
43,raw_unclipped,55000900201800,41,2020-09-11,2020-10-22,42,0,1.1894519900000002,1.2101,0.0,4.0,True,0.0,0.0,74
43,raw_unclipped,55000900201811,43,2020-09-11,2020-10-23,43,0,1.5031895199999998,1.4972,0.0,4.0,True,0.0,0.0,84
43,raw_unclipped,55000900202948,43,2020-09-11,2020-10-23,43,0,1.1387440400000002,1.1273,0.0,4.0,True,0.0,0.0,77
43,raw_unclipped,55000900235848,41,2020-09-11,2020-10-21,41,0,1.48937149,1.498,0.0,4.0,True,0.0,0.0,84
43,raw_unclipped,55000900236525,40,2020-09-11,2020-10-20,40,0,4.68226309,4.6682,1.0,9.0,False,0.0,0.0,84
43,raw_unclipped,55000900237668,48,2020-09-11,2020-10-28,48,42,43.4068831255,43.3816,31.0,48.0,True,0.9271726499455306,0.9271726499455306,64
43,raw_unclipped,55000900271029,41,2020-09-11,2020-10-21,41,0,2.30549133,2.2996,0.0,6.0,True,0.0,0.0,84
43,raw_unclipped,55000900271635,42,2020-09-11,2020-10-22,42,0,5.08451335,5.1091,1.0,9.0,False,0.0,0.0,77
43,raw_unclipped,55000900272209,40,2020-09-11,2020-10-20,40,0,4.15182419,4.1769,1.0,8.0,False,0.0,0.0,80
43,raw_unclipped,55000900272714,41,2020-09-11,2020-10-21,41,0,1.04013376,1.0459,0.0,3.0,True,0.0,0.0,78
44,platt_rho98,55000900029021,40,2020-09-11,2020-10-20,40,0,0.30552953989350695,0.308,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900030173,43,2020-09-11,2020-10-23,43,0,0.27979055011850074,0.2729,0.0,2.0,True,0.0,0.0,77
44,platt_rho98,55000900096564,36,2020-09-11,2020-10-28,48,1,0.7065176210184583,0.7141,0.0,3.0,True,0.0,0.0,66
44,platt_rho98,55000900097164,41,2020-09-11,2020-10-22,42,29,35.73579976775106,35.738,30.0,41.0,False,1.0,0.98,83
44,platt_rho98,55000900097169,42,2020-09-11,2020-10-22,42,35,41.676231566337314,41.6509,38.0,42.0,False,0.9999999999999998,0.98,74
44,platt_rho98,55000900097170,48,2020-09-11,2020-10-29,49,46,43.33038031136436,43.2614,27.0,48.0,True,1.0,0.98,81
44,platt_rho98,55000900099610,39,2020-09-11,2020-10-20,40,0,0.26489198442620987,0.2617,0.0,2.0,True,0.0,0.0,75
44,platt_rho98,55000900100137,40,2020-09-11,2020-10-21,41,36,38.83331241780942,38.8798,34.0,40.0,True,1.0,0.98,69
44,platt_rho98,55000900131558,42,2020-09-11,2020-10-22,42,0,0.3727990556206122,0.3765,0.0,2.0,True,0.0,0.0,79
44,platt_rho98,55000900167054,41,2020-09-11,2020-10-21,41,0,0.2756218954159697,0.2757,0.0,2.0,True,0.0,0.0,73
44,platt_rho98,55000900167692,35,2020-09-11,2020-10-20,40,0,1.3008643112996938,1.2945,0.0,3.0,True,0.0,0.0,80
44,platt_rho98,55000900167704,41,2020-09-11,2020-10-21,41,0,0.2974369652680888,0.2972,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900201800,41,2020-09-11,2020-10-22,42,0,0.2648425006029693,0.2656,0.0,2.0,True,0.0,0.0,74
44,platt_rho98,55000900201811,43,2020-09-11,2020-10-23,43,0,0.2746229316014668,0.2744,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900202948,43,2020-09-11,2020-10-23,43,0,0.278634229262368,0.2852,0.0,2.0,True,0.0,0.0,77
44,platt_rho98,55000900235848,41,2020-09-11,2020-10-21,41,0,0.28276892159960365,0.2809,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900236525,40,2020-09-11,2020-10-20,40,0,0.32235131607711376,0.3307,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900237668,48,2020-09-11,2020-10-28,48,42,47.18109969881765,47.1705,41.0,48.0,True,0.9271726499455306,0.9271726499455306,64
44,platt_rho98,55000900271029,41,2020-09-11,2020-10-21,41,0,0.3259389083579828,0.3298,0.0,2.0,True,0.0,0.0,84
44,platt_rho98,55000900271635,42,2020-09-11,2020-10-22,42,0,0.44893031192275445,0.4499,0.0,2.0,True,0.0,0.0,77
