site,n,rho,rho_used,np,true,mean,lo,hi,ok
55000900029021,40,0.0,0.0,84,0.0,1.7898,0.0,5.0,True
55000900030173,43,0.0,0.0,77,0.0,1.3855,0.0,4.0,True
55000900096564,36,0.0,0.0,66,10.138888888888893,3.9824,1.0,8.0,False
55000900097164,41,1.0,0.98,83,258.17073170731703,265.4521,203.0,299.0,True
55000900097169,42,0.9999999999999998,0.98,74,304.1666666666667,333.214,271.0,359.0,True
55000900097170,48,1.0,0.98,81,349.7916666666667,169.758,85.0,254.0,False
55000900099610,39,0.0,0.0,75,0.0,1.4105,0.0,4.0,True
55000900100137,40,1.0,0.98,69,328.5,346.5172,284.0,365.0,True
55000900131558,42,0.0,0.0,79,0.0,2.1434,0.0,5.0,True
55000900167054,41,0.0,0.0,73,0.0,1.4688,0.0,4.0,True
55000900167692,35,0.0,0.0,80,0.0,15.2708,8.0,23.0,False
55000900167704,41,0.0,0.0,84,0.0,1.5336,0.0,4.0,True
55000900201800,41,0.0,0.0,74,0.0,1.3917,0.0,4.0,True
55000900201811,43,0.0,0.0,84,0.0,1.2963,0.0,4.0,True
55000900202948,43,0.0,0.0,77,0.0,1.3025,0.0,4.0,True
55000900235848,41,0.0,0.0,84,0.0,1.4155,0.0,4.0,True
55000900236525,40,0.0,0.0,84,0.0,2.0484,0.0,5.0,True
55000900237668,48,0.9271726499455306,0.9271726499455306,64,319.375,319.062,287.0,341.0,True
55000900271029,41,0.0,0.0,84,0.0,1.5912,0.0,4.0,True
55000900271635,42,0.0,0.0,77,0.0,2.6798,0.0,6.0,True
55000900272209,40,0.0,0.0,80,0.0,2.0594,0.0,5.0,True
55000900272714,41,0.0,0.0,78,0.0,1.3007,0.0,4.0,True
