seed,variant,horizon,N,NSE,KGE
42,control,1,340,0.9379942913937345,0.7598920120127527
42,control,2,348,0.8652594162620147,0.8478769387968972
42,control,3,350,0.3962649102897341,0.391873367817987
42,availability,1,340,0.8919945859595468,0.6570858314631776
42,availability,2,348,0.8803013566151915,0.8209177583096091
42,availability,3,350,0.4186826123260794,0.3702053772724503
43,control,1,340,0.9155686105967841,0.7143530477981428
43,control,2,348,0.8595844915027501,0.8339376579059695
43,control,3,350,0.3979443872111349,0.37525109808940527
43,availability,1,340,0.9091466382811052,0.6878204244777252
43,availability,2,348,0.8504941177421986,0.8419807331491869
43,availability,3,350,0.3490039884043159,0.42986285456714746
44,control,1,340,0.8925865700447093,0.6501663053033155
44,control,2,348,0.8799426009287339,0.789279708261974
44,control,3,350,0.38831340405238357,0.3218654624879781
44,availability,1,340,0.8859554805854599,0.6591689328428004
44,availability,2,348,0.8690948881579259,0.8263550845971606
44,availability,3,350,0.3987588057624706,0.3628153002401936
