model,variant,seed,sensor_available,excluded_from_common,N,WetFrac,Accuracy,ROC-AUC,WetF1,DryF1,DryRecall,DryPrecision
lstm,control,42,956,48,908,0.7918502202643172,0.9030837004405287,0.9490989101559337,0.9396433470507545,0.7541899441340782,0.7142857142857143,0.7988165680473372
rgcn,control,42,908,0,908,0.7918502202643172,0.947136563876652,0.984016601540941,0.9666666666666667,0.8723404255319149,0.8677248677248677,0.8770053475935828
lstm,availability,42,956,48,908,0.7918502202643172,0.9515418502202643,0.9813674194759036,0.9688826025459689,0.8905472636815921,0.9470899470899471,0.8403755868544601
rgcn,availability,42,908,0,908,0.7918502202643172,0.961453744493392,0.9856355461362415,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469
lstm,control,43,956,48,908,0.7918502202643172,0.9405286343612335,0.9887409762235909,0.9629629629629629,0.8491620111731844,0.8042328042328042,0.8994082840236687
rgcn,control,43,908,0,908,0.7918502202643172,0.9691629955947136,0.9877107387538542,0.9801980198019802,0.9303482587064676,0.9894179894179894,0.8779342723004695
lstm,availability,43,956,48,908,0.7918502202643172,0.9581497797356828,0.9859004643427453,0.973463687150838,0.9010416666666666,0.9153439153439153,0.8871794871794871
rgcn,availability,43,908,0,908,0.7918502202643172,0.9625550660792952,0.9863419946869182,0.9758522727272727,0.9166666666666666,0.9894179894179894,0.8538812785388128
lstm,control,44,956,48,908,0.7918502202643172,0.947136563876652,0.983817912886063,0.967032967032967,0.8666666666666667,0.8253968253968254,0.9122807017543859
rgcn,control,44,908,0,908,0.7918502202643172,0.9702643171806168,0.9860917941585535,0.9808917197452229,0.9330024813895782,0.9947089947089947,0.8785046728971962
lstm,availability,44,956,48,908,0.7918502202643172,0.9438325991189427,0.9755318600937516,0.964260686755431,0.8688946015424165,0.8941798941798942,0.845
rgcn,availability,44,908,0,908,0.7918502202643172,0.9669603524229075,0.985090992045095,0.9787835926449788,0.9253731343283582,0.9841269841269841,0.8732394366197183
