model,scope,seed,N,WetFrac,Accuracy,ROC-AUC,WetF1,DryF1,DryRecall,DryPrecision
RGCN,full_sensor,42,908,0.7918502202643172,0.961453744493392,0.9856355461362415,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469
RGCN,matched,42,908,0.7918502202643172,0.961453744493392,0.9856355461362415,0.9750889679715302,0.9148418491484185,0.9947089947089947,0.8468468468468469
RGCN,headwater,42,743,0.784656796769852,0.9690444145356663,0.9854202401372212,0.9799126637554585,0.9325513196480938,0.99375,0.8784530386740331
RGCN,tailwater,42,165,0.8242424242424242,0.9272727272727272,0.9893509127789047,0.9538461538461539,0.8285714285714286,1.0,0.7073170731707317
LSTM,full_sensor,42,956,0.8023012552301255,0.9539748953974896,0.9822023550837109,0.9708609271523179,0.8905472636815921,0.9470899470899471,0.8403755868544601
LSTM,matched,42,908,0.7918502202643172,0.9515418502202643,0.9813674194759036,0.9688826025459689,0.8905472636815921,0.9470899470899471,0.8403755868544601
LSTM,headwater,42,743,0.784656796769852,0.9488559892328399,0.9805853344768439,0.9668989547038328,0.8875739644970414,0.9375,0.8426966292134831
LSTM,tailwater,42,165,0.8242424242424242,0.9636363636363636,0.9852941176470589,0.9774436090225563,0.90625,1.0,0.8285714285714286
RGCN,full_sensor,43,908,0.7918502202643172,0.9625550660792952,0.9863419946869182,0.9758522727272727,0.9166666666666666,0.9894179894179894,0.8538812785388128
RGCN,matched,43,908,0.7918502202643172,0.9625550660792952,0.9863419946869182,0.9758522727272727,0.9166666666666666,0.9894179894179894,0.8538812785388128
RGCN,headwater,43,743,0.784656796769852,0.9676985195154778,0.9855274442538594,0.9790575916230366,0.9294117647058824,0.9875,0.8777777777777778
RGCN,tailwater,43,165,0.8242424242424242,0.9393939393939394,0.9890973630831643,0.9618320610687023,0.8529411764705882,1.0,0.7435897435897436
LSTM,full_sensor,43,956,0.8023012552301255,0.9602510460251046,0.9867828342404613,0.975130890052356,0.9010416666666666,0.9153439153439153,0.8871794871794871
LSTM,matched,43,908,0.7918502202643172,0.9581497797356828,0.9859004643427453,0.973463687150838,0.9010416666666666,0.9153439153439153,0.8871794871794871
LSTM,headwater,43,743,0.784656796769852,0.955585464333782,0.9857847341337908,0.9716738197424892,0.897196261682243,0.9,0.8944099378881988
LSTM,tailwater,43,165,0.8242424242424242,0.9696969696969697,0.9913793103448277,0.9812734082397003,0.9206349206349206,1.0,0.8529411764705882
RGCN,full_sensor,44,908,0.7918502202643172,0.9669603524229075,0.985090992045095,0.9787835926449788,0.9253731343283582,0.9841269841269841,0.8732394366197183
RGCN,matched,44,908,0.7918502202643172,0.9669603524229075,0.985090992045095,0.9787835926449788,0.9253731343283582,0.9841269841269841,0.8732394366197183
RGCN,headwater,44,743,0.784656796769852,0.9690444145356663,0.9837371355060035,0.979982593559617,0.9317507418397626,0.98125,0.8870056497175142
RGCN,tailwater,44,165,0.8242424242424242,0.9575757575757575,0.9949290060851927,0.9735849056603774,0.8923076923076924,1.0,0.8055555555555556
LSTM,full_sensor,44,956,0.8023012552301255,0.946652719665272,0.9770631126563329,0.9665134602757715,0.8688946015424165,0.8941798941798942,0.845
LSTM,matched,44,908,0.7918502202643172,0.9438325991189427,0.9755318600937516,0.964260686755431,0.8688946015424165,0.8941798941798942,0.845
LSTM,headwater,44,743,0.784656796769852,0.9380888290713324,0.9718267581475127,0.9601386481802426,0.8614457831325302,0.89375,0.8313953488372093
LSTM,tailwater,44,165,0.8242424242424242,0.9696969696969697,0.9847870182555781,0.9816849816849816,0.9122807017543859,0.896551724137931,0.9285714285714286
