site,n_observed,observed_dry,expected_dry,simulation_mean,lo,hi,rho,rho_pairs,included
55000900029021,40,0,2.05887861,2.058,0.0,5.0,0.0,84,True
55000900030173,43,0,2.30953296,2.327,0.0,6.0,0.0,77,True
55000900096564,36,1,5.72316976,5.6856,2.0,10.0,0.0,66,False
55000900097164,41,29,39.65762937465,39.6267,33.0,41.0,1.0,83,False
55000900097169,42,35,41.74987946868001,41.7572,37.0,42.0,0.9999999999999998,74,False
55000900097170,48,46,46.9879681204,47.0339,39.0,48.0,1.0,81,True
55000900099610,39,0,1.4481915300000001,1.4367,0.0,4.0,0.0,75,True
55000900100137,40,36,39.307878296300004,39.2962,34.0,40.0,1.0,69,True
55000900131558,42,0,2.38115386,2.3685,0.0,6.0,0.0,79,True
55000900167054,41,0,1.4448477799999997,1.4453,0.0,4.0,0.0,73,True
55000900167692,35,0,7.09789945,7.1083,3.0,12.0,0.0,80,False
55000900167704,41,0,1.55193707,1.5528,0.0,4.0,0.0,84,True
55000900201800,41,0,1.5047417599999997,1.4913,0.0,4.0,0.0,74,True
55000900201811,43,0,1.1189387899999998,1.1132,0.0,4.0,0.0,84,True
55000900202948,43,0,1.2889111,1.2856,0.0,4.0,0.0,77,True
55000900235848,41,0,0.9306472300000002,0.9264,0.0,3.0,0.0,84,True
55000900236525,40,0,2.0512443399999998,2.0392,0.0,5.0,0.0,84,True
55000900237668,48,42,46.3128547191,46.2988,37.0,48.0,0.9271726499455306,64,True
55000900271029,41,0,2.23457377,2.2181,0.0,5.0,0.0,84,True
55000900271635,42,0,3.07985033,3.0756,0.0,7.0,0.0,77,True
55000900272209,40,0,2.9743982200000003,2.9686,0.0,6.0,0.0,80,True
55000900272714,41,0,1.59961563,1.6047,0.0,4.0,0.0,78,True
