feature,raw_importance,plot_importance
wetdry_status,0.9100229,0.9100229
elev_min_cm,0.016909452,0.016909452
etalfalfa,0.012158389,0.012158389
TotDASqKm,0.0072310334,0.0072310334
Out-degree,0.006605599,0.006605599
aspect_sw_pct,0.005933373,0.005933373
rhmin,0.005518012,0.005518012
tmin,0.005496777,0.005496777
MaxDepth_cm,0.004917472,0.004917472
AreaSqKm,0.004889642,0.004889642
aspect_se_pct,0.0034070304,0.0034070304
aspect_ne_pct,0.0028982726,0.0028982726
sph,0.0023902107,0.0023902107
rhmax,0.0021545342,0.0021545342
srad,0.0018902508,0.0018902508
vp,0.0017752958,0.0017752958
elev_median_cm,0.0014618883,0.0014618883
elev_max_cm,0.0012078448,0.0012078448
LengthKM,0.0010866182,0.0010866182
etgrass,0.0010788132,0.0010788132
tmax,0.00096658093,0.00096658093
prcp,0.0,0.0
ws,0.0,0.0
aspect_nw_pct,0.0,0.0
elev_mean_cm,0.0,0.0
slp_median_pct,0.0,0.0
curv_median,0.0,0.0
slp_mean_pct,0.0,0.0
ArbolateSu,0.0,0.0
ToNode,0.0,0.0
FromNode,0.0,0.0
curv_mean,0.0,0.0
In-degree,0.0,0.0
Slope,0.0,0.0
MaxDepth_Threshold,0.0,0.0
MaxDepth_Censor,0.0,0.0
