Feature,Value,Abs,Display,Importance
wetdry_status,0.08967726483444105,0.08967726483444105,lagged_target,1.0
aspect_ne_pct,0.013741671251298992,0.013741671251298992,aspect_ne_pct,0.15323472762765872
Slope,0.007265513607339957,0.007265513607339957,Slope,0.08101845680455674
aspect_se_pct,0.0058723833081397725,0.0058723833081397725,aspect_se_pct,0.06548352382268968
elev_max_cm,0.0025509969148593825,0.0025509969148593825,elev_max_cm,0.028446417490196
In-degree,-0.0017081367742730613,0.0017081367742730613,in_degree,0.019047601166544966
srad,-0.0017081367742730613,0.0017081367742730613,srad,0.019047601166544966
elev_min_cm,0.0017021538083387133,0.0017021538083387133,elev_min_cm,0.01898088452498154
MaxDepth_Censor,0.0017021538083387133,0.0017021538083387133,MaxDepth_Censor,0.01898088452498154
Out-degree,0.0009026077045115599,0.0009026077045115599,out_degree,0.010065067285202352
MaxDepth_cm,-0.00090102557006011,0.00090102557006011,MaxDepth_cm,0.010047424748330038
etalfalfa,-0.0008533185465858795,0.0008533185465858795,etalfalfa,0.00951543903754475
aspect_sw_pct,-0.0008533185465858795,0.0008533185465858795,aspect_sw_pct,0.00951543903754475
elev_median_cm,-0.0008533185465858795,0.0008533185465858795,elev_median_cm,0.00951543903754475
AreaSqKm,-0.0008533185465858795,0.0008533185465858795,AreaSqKm,0.00951543903754475
tmax,-0.0008533185465858795,0.0008533185465858795,tmax,0.00951543903754475
prcp,0.0008518228085551138,0.0008518228085551138,prcp,0.009498759915656645
etgrass,0.0008518228085551138,0.0008518228085551138,etgrass,0.009498759915656645
aspect_nw_pct,0.0008518228085551138,0.0008518228085551138,aspect_nw_pct,0.009498759915656645
rhmax,0.0008518228085551138,0.0008518228085551138,rhmax,0.009498759915656645
curv_mean,0.0008518228085551138,0.0008518228085551138,curv_mean,0.009498759915656645
tmin,0.0,0.0,tmin,0.0
elev_mean_cm,0.0,0.0,elev_mean_cm,0.0
rhmin,0.0,0.0,rhmin,0.0
sph,0.0,0.0,sph,0.0
ws,0.0,0.0,ws,0.0
vp,0.0,0.0,vp,0.0
slp_mean_pct,0.0,0.0,slp_mean_pct,0.0
ArbolateSu,0.0,0.0,ArbolateSu,0.0
ToNode,0.0,0.0,ToNode,0.0
FromNode,0.0,0.0,FromNode,0.0
curv_median,0.0,0.0,curv_median,0.0
slp_median_pct,0.0,0.0,slp_median_pct,0.0
TotDASqKm,0.0,0.0,TotDASqKm,0.0
LengthKM,0.0,0.0,LengthKM,0.0
MaxDepth_Threshold,0.0,0.0,MaxDepth_Threshold,0.0
