feature,accuracy_drop,sd
MaxDepth_cm,0.00899581589958165,0.0022917261820300204
MaxDepth_Threshold,0.0012552301255230659,0.0013638498755654442
MaxDepth_Censor,0.005439330543933108,0.002707568850532353
etalfalfa,6.661338147750939e-17,0.0014793028895116488
etgrass,0.0006276150627615662,0.0024081306345651583
prcp,0.01066945606694567,0.0023853042366091034
rhmax,0.01066945606694567,0.0023853042366091034
rhmin,0.030543933054393336,0.003800397934013584
sph,-0.001255230125522999,0.001363849875565393
srad,0.0004184100418410441,0.0035162628271907356
tmax,-0.0023012552301254984,0.0011458630910149796
tmin,0.004184100418410108,0.0034692727932587493
vp,0.014016736401673714,0.0015863756159103493
ws,0.004393305439330563,0.005603805538066474
aspect_ne_pct,0.0481171548117155,0.004559517723368901
aspect_sw_pct,-0.005020920502091996,0.002267728387937089
aspect_nw_pct,0.0035564853556486085,0.002039078314813569
aspect_se_pct,0.007949790794979128,0.004223144192089186
elev_min_cm,0.003138075313807587,0.0036235372543281965
elev_max_cm,0.00836820083682015,0.0038433416466263372
elev_median_cm,0.006485355648535607,0.0030853307957641146
elev_mean_cm,0.006903765690376607,0.0028262042021142578
slp_median_pct,-0.002510460251045976,0.0020390783148136176
slp_mean_pct,-0.0004184100418409553,0.002519162045772475
curv_median,-0.0033472803347279756,0.002902601867261854
curv_mean,-0.002719665271966476,0.003103011919286889
ArbolateSu,-0.00041841004184097754,0.001192652118304559
AreaSqKm,0.0006276150627615662,0.004474738417616631
TotDASqKm,2.2204460492503132e-17,0.0007396514447558342
Slope,0.01046025104602517,0.0014793028895116488
LengthKM,0.01694560669456071,0.0011458630910149796
In-degree,-0.007531380753138017,0.002385304236609084
Out-degree,0.03619246861924692,0.0028262042021142578
wetdry_status,0.16150627615062765,0.012301361966918055
status_available,0.0004184100418410441,0.0005729315455075506
